candidate_id,gender,gender_code,experience,test_score,education_level,education_code,hired
CAN_0001,Male,0,15,57,Bachelor,0,1
CAN_0002,Female,1,12,72,Bachelor,0,1
CAN_0003,Female,1,14,59,Bachelor,0,1
CAN_0004,Female,1,8,93,Master,1,0
CAN_0005,Male,0,3,54,PhD,2,1
CAN_0006,Male,0,8,70,Master,1,1
CAN_0007,Male,0,15,74,PhD,2,1
CAN_0008,Female,1,5,75,Master,1,0
CAN_0009,Female,1,1,61,PhD,2,1
CAN_0010,Female,1,7,56,Master,1,1
CAN_0011,Male,0,5,61,Bachelor,0,0
CAN_0012,Female,1,6,77,Master,1,0
CAN_0013,Female,1,6,67,PhD,2,1
CAN_0014,Male,0,8,81,Bachelor,0,1
CAN_0015,Male,0,9,77,PhD,2,1
CAN_0016,Male,0,2,35,Bachelor,0,0
CAN_0017,Male,0,9,73,Master,1,1
CAN_0018,Female,1,12,100,PhD,2,1
CAN_0019,Male,0,15,89,Bachelor,0,1
CAN_0020,Male,0,11,76,Bachelor,0,1
CAN_0021,Female,1,10,54,Bachelor,0,0
CAN_0022,Male,0,9,77,PhD,2,1
CAN_0023,Male,0,13,81,Bachelor,0,1
CAN_0024,Male,0,10,66,PhD,2,1
CAN_0025,Male,0,15,74,Bachelor,0,1
CAN_0026,Female,1,10,92,PhD,2,1
CAN_0027,Male,0,7,57,PhD,2,1
CAN_0028,Female,1,1,54,Bachelor,0,0
CAN_0029,Female,1,7,80,Master,1,1
CAN_0030,Male,0,10,76,Bachelor,0,1
CAN_0031,Female,1,5,85,Master,1,1
CAN_0032,Male,0,6,78,Bachelor,0,1
CAN_0033,Male,0,10,61,Bachelor,0,0
CAN_0034,Female,1,7,76,Bachelor,0,1
CAN_0035,Female,1,14,52,Bachelor,0,1
CAN_0036,Female,1,15,66,Bachelor,0,1
CAN_0037,Male,0,5,77,Master,1,1
CAN_0038,Male,0,7,64,PhD,2,1
CAN_0039,Female,1,9,100,Bachelor,0,0
CAN_0040,Male,0,3,41,Master,1,1
CAN_0041,Male,0,8,61,Bachelor,0,1
CAN_0042,Male,0,2,55,PhD,2,1
CAN_0043,Male,0,11,59,PhD,2,1
CAN_0044,Female,1,7,60,PhD,2,0
CAN_0045,Male,0,13,50,PhD,2,1
CAN_0046,Female,1,2,81,Bachelor,0,0
CAN_0047,Male,0,15,61,PhD,2,1
CAN_0048,Female,1,14,72,Master,1,1
CAN_0049,Female,1,4,63,Bachelor,0,0
CAN_0050,Male,0,7,59,PhD,2,0
CAN_0051,Female,1,3,95,Bachelor,0,0
CAN_0052,Female,1,2,83,Master,1,0
CAN_0053,Female,1,11,41,Bachelor,0,0
CAN_0054,Female,1,10,40,Bachelor,0,1
CAN_0055,Female,1,7,85,Master,1,0
CAN_0056,Female,1,1,62,Master,1,0
CAN_0057,Male,0,14,45,Bachelor,0,1
CAN_0058,Male,0,15,85,Bachelor,0,1
CAN_0059,Male,0,8,72,PhD,2,1
CAN_0060,Male,0,3,73,Bachelor,0,1
CAN_0061,Male,0,12,82,Bachelor,0,1
CAN_0062,Male,0,12,50,PhD,2,1
CAN_0063,Female,1,13,45,PhD,2,1
CAN_0064,Male,0,2,93,Bachelor,0,1
CAN_0065,Male,0,3,48,Master,1,1
CAN_0066,Female,1,5,51,PhD,2,1
CAN_0067,Male,0,11,54,PhD,2,1
CAN_0068,Female,1,8,100,Master,1,1
CAN_0069,Male,0,10,77,Bachelor,0,1
CAN_0070,Female,1,7,84,Bachelor,0,1
CAN_0071,Female,1,7,72,Bachelor,0,0
CAN_0072,Male,0,12,60,Master,1,0
CAN_0073,Male,0,7,79,Bachelor,0,1
CAN_0074,Female,1,15,46,Master,1,1
CAN_0075,Female,1,8,53,Bachelor,0,1
CAN_0076,Female,1,1,80,Bachelor,0,0
CAN_0077,Female,1,4,49,PhD,2,0
CAN_0078,Male,0,13,67,Bachelor,0,1
CAN_0079,Male,0,6,67,Bachelor,0,1
CAN_0080,Male,0,9,62,PhD,2,1
CAN_0081,Female,1,13,40,Bachelor,0,1
CAN_0082,Female,1,2,60,Master,1,0
CAN_0083,Male,0,1,57,Master,1,0
CAN_0084,Male,0,13,72,Bachelor,0,1
CAN_0085,Male,0,10,71,PhD,2,1
CAN_0086,Male,0,12,75,Master,1,1
CAN_0087,Female,1,14,59,Bachelor,0,0
CAN_0088,Female,1,2,77,Bachelor,0,0
CAN_0089,Female,1,7,46,Bachelor,0,0
CAN_0090,Male,0,3,42,PhD,2,0
CAN_0091,Male,0,10,34,Bachelor,0,1
CAN_0092,Female,1,2,62,Master,1,0
CAN_0093,Female,1,14,58,Master,1,1
CAN_0094,Female,1,11,81,Master,1,1
CAN_0095,Female,1,7,60,Bachelor,0,0
CAN_0096,Male,0,13,74,Bachelor,0,1
CAN_0097,Female,1,13,82,Master,1,1
CAN_0098,Male,0,2,59,Bachelor,0,0
CAN_0099,Male,0,3,74,Bachelor,0,0
CAN_0100,Male,0,11,85,Bachelor,0,1
CAN_0101,Male,0,7,51,Bachelor,0,0
CAN_0102,Female,1,14,70,PhD,2,1
CAN_0103,Male,0,4,59,Bachelor,0,1
CAN_0104,Female,1,13,52,Bachelor,0,0
CAN_0105,Female,1,14,46,Bachelor,0,0
CAN_0106,Male,0,1,52,Master,1,0
CAN_0107,Male,0,13,70,Master,1,1
CAN_0108,Female,1,14,45,Bachelor,0,1
CAN_0109,Male,0,5,61,Master,1,0
CAN_0110,Male,0,12,82,Master,1,1
CAN_0111,Male,0,9,76,PhD,2,1
CAN_0112,Male,0,8,62,PhD,2,1
CAN_0113,Female,1,12,95,Bachelor,0,1
CAN_0114,Female,1,15,98,Bachelor,0,1
CAN_0115,Female,1,9,70,Bachelor,0,1
CAN_0116,Female,1,10,32,Bachelor,0,1
CAN_0117,Female,1,14,83,PhD,2,0
CAN_0118,Male,0,9,35,Bachelor,0,1
CAN_0119,Female,1,15,92,Bachelor,0,1
CAN_0120,Female,1,7,86,Master,1,1
CAN_0121,Female,1,4,96,Master,1,1
CAN_0122,Female,1,5,73,Bachelor,0,0
CAN_0123,Male,0,1,64,Bachelor,0,0
CAN_0124,Male,0,14,63,Bachelor,0,1
CAN_0125,Male,0,1,61,Master,1,0
CAN_0126,Male,0,3,84,Bachelor,0,1
CAN_0127,Female,1,13,80,Bachelor,0,0
CAN_0128,Female,1,14,71,Master,1,1
CAN_0129,Male,0,8,59,Bachelor,0,1
CAN_0130,Female,1,14,100,Master,1,1
CAN_0131,Male,0,2,83,Bachelor,0,1
CAN_0132,Male,0,4,46,Bachelor,0,1
CAN_0133,Male,0,2,62,PhD,2,1
CAN_0134,Male,0,14,83,Master,1,1
CAN_0135,Female,1,5,58,Bachelor,0,0
